捕获开始时间: 2025-04-19 05:11:42
过滤条件: 无
----------------------------------------
捕获时间        | 源IP           | 目的IP        | 协议          | 源端口 | 目的端口 | 数据包大小
-------------------+-----------------+-----------------+-----------------+--------+--------+------------
2025-04-19 05:11:43 | 10.1.219.177    | 111.40.58.183   | IPv4/TCP        | 22    | 40164 | 202       
2025-04-19 05:11:43 | 111.40.58.183   | 10.1.219.177    | IPv4/TCP        | 40164 | 22    | 54        
2025-04-19 05:11:43 | 111.40.58.183   | 10.1.219.177    | IPv4/TCP        | 58343 | 8084  | 58        
2025-04-19 05:11:43 | 111.40.58.183   | 10.1.219.177    | IPv4/TCP        | 58343 | 8084  | 89        
2025-04-19 05:11:43 | 111.40.58.183   | 10.1.219.177    | IPv4/TCP        | 58343 | 8084  | 58        
2025-04-19 05:11:43 | 111.40.58.183   | 10.1.219.177    | IPv4/TCP        | 58343 | 8084  | 110       
2025-04-19 05:11:43 | 10.1.219.177    | 111.40.58.183   | IPv4/TCP        | 8084  | 58343 | 54        
2025-04-19 05:11:43 | 10.1.219.177    | 111.40.58.183   | IPv4/TCP        | 8084  | 58343 | 58        
2025-04-19 05:11:43 | 10.1.219.177    | 111.40.58.183   | IPv4/TCP        | 8084  | 58343 | 89        
2025-04-19 05:11:43 | 10.1.219.177    | 111.40.58.183   | IPv4/TCP        | 8084  | 58343 | 114       
2025-04-19 05:11:43 | 111.40.58.183   | 10.1.219.177    | IPv4/TCP        | 58343 | 8084  | 54        
2025-04-19 05:11:43 | 111.40.58.183   | 10.1.219.177    | ARP             | 0     | 0     | 42        
2025-04-19 05:11:43 | 111.40.58.183   | 10.1.219.177    | ARP             | 0     | 0     | 42        
2025-04-19 05:11:43 | 111.40.58.183   | 10.1.219.177    | IPv4/TCP        | 58343 | 8084  | 54        
2025-04-19 05:11:43 | 167.94.146.39   | 10.1.219.177    | IPv4/TCP        | 26507 | 48970 | 74        
2025-04-19 05:11:43 | 10.1.219.177    | 167.94.146.39   | IPv4/TCP        | 48970 | 26507 | 54        
2025-04-19 05:11:43 | 10.1.219.177    | 167.94.146.39   | IPv6            | 0     | 0     | 95        
2025-04-19 05:11:43 | 10.1.219.177    | 167.94.146.39   | IPv6            | 0     | 0     | 98        
2025-04-19 05:11:43 | 10.1.219.177    | 180.184.52.206  | IPv4/TCP        | 22    | 48264 | 74        
2025-04-19 05:11:43 | 111.40.58.183   | 10.1.219.177    | IPv4/UDP        | 61319 | 4443  | 75        
