捕获开始时间: 2025-04-19 05:11:42
过滤条件: 无
----------------------------------------
捕获时间        | 源IP           | 目的IP        | 协议          | 源端口 | 目的端口 | 数据包大小
2025-04-19 05:11:44 | 10.1.219.177    | 111.40.58.183   | IPv4/TCP        | 22    | 40164 | 378       
2025-04-19 05:11:44 | 10.1.219.177    | 111.40.58.183   | IPv4/TCP        | 22    | 40164 | 666       
2025-04-19 05:11:44 | 10.1.219.177    | 111.40.58.183   | IPv4/TCP        | 22    | 40164 | 990       
2025-04-19 05:11:44 | 10.1.219.177    | 111.40.58.183   | IPv4/TCP        | 22    | 40164 | 1042      
2025-04-19 05:11:44 | 10.1.219.177    | 111.40.58.183   | IPv4/TCP        | 22    | 40164 | 1138      
2025-04-19 05:11:44 | 10.1.219.177    | 111.40.58.183   | IPv4/TCP        | 22    | 40164 | 1734      
2025-04-19 05:11:44 | 10.1.219.177    | 111.40.58.183   | IPv4/TCP        | 22    | 40164 | 330       
2025-04-19 05:11:44 | 10.1.219.177    | 111.40.58.183   | IPv4/UDP        | 4443  | 61319 | 76        
2025-04-19 05:11:44 | 180.184.52.206  | 10.1.219.177    | IPv4/TCP        | 48264 | 22    | 66        
2025-04-19 05:11:44 | 10.1.219.177    | 180.184.52.206  | IPv4/TCP        | 22    | 48264 | 87        
2025-04-19 05:11:44 | 180.184.52.206  | 10.1.219.177    | IPv4/TCP        | 48264 | 22    | 88        
2025-04-19 05:11:44 | 10.1.219.177    | 180.184.52.206  | IPv4/TCP        | 22    | 48264 | 66        
2025-04-19 05:11:44 | 111.40.58.183   | 10.1.219.177    | IPv4/TCP        | 40164 | 22    | 54        
2025-04-19 05:11:44 | 111.40.58.183   | 10.1.219.177    | IPv4/TCP        | 40164 | 22    | 54        
2025-04-19 05:11:44 | 111.40.58.183   | 10.1.219.177    | IPv4/TCP        | 40164 | 22    | 54        
2025-04-19 05:11:44 | 111.40.58.183   | 10.1.219.177    | IPv4/TCP        | 40164 | 22    | 54        
2025-04-19 05:11:44 | 180.184.52.206  | 10.1.219.177    | IPv4/TCP        | 48264 | 22    | 66        
2025-04-19 05:11:44 | 10.1.219.177    | 180.184.52.206  | IPv4/TCP        | 22    | 48264 | 1234      
2025-04-19 05:11:44 | 180.184.52.206  | 10.1.219.177    | IPv4/TCP        | 48264 | 22    | 1042      
2025-04-19 05:11:44 | 10.1.219.177    | 180.184.52.206  | IPv4/TCP        | 22    | 48264 | 66        
2025-04-19 05:11:44 | 199.45.155.66   | 10.1.219.177    | IPv4/TCP        | 34032 | 888   | 74        
2025-04-19 05:11:44 | 10.1.219.177    | 199.45.155.66   | IPv4/TCP        | 888   | 34032 | 54        
2025-04-19 05:11:44 | 199.45.155.66   | 10.1.219.177    | IPv4/TCP        | 34040 | 888   | 74        
2025-04-19 05:11:44 | 10.1.219.177    | 199.45.155.66   | IPv4/TCP        | 888   | 34040 | 54        
2025-04-19 05:11:44 | 199.45.155.66   | 10.1.219.177    | IPv4/TCP        | 34048 | 888   | 74        
2025-04-19 05:11:44 | 10.1.219.177    | 199.45.155.66   | IPv4/TCP        | 888   | 34048 | 54        
2025-04-19 05:11:44 | 147.185.132.237 | 10.1.219.177    | IPv4/TCP        | 52221 | 636   | 58        
2025-04-19 05:11:44 | 10.1.219.177    | 147.185.132.237 | IPv4/TCP        | 636   | 52221 | 54        
2025-04-19 05:11:45 | 10.1.219.177    | 111.40.58.183   | IPv4/TCP        | 22    | 40164 | 378       
2025-04-19 05:11:45 | 10.1.219.177    | 111.40.58.183   | IPv4/TCP        | 22    | 40164 | 1226      
2025-04-19 05:11:45 | 10.1.219.177    | 111.40.58.183   | IPv4/TCP        | 22    | 40164 | 1582      
2025-04-19 05:11:45 | 10.1.219.177    | 111.40.58.183   | IPv4/TCP        | 22    | 40164 | 1678      
2025-04-19 05:11:45 | 10.1.219.177    | 111.40.58.183   | IPv4/TCP        | 22    | 40164 | 1926      
2025-04-19 05:11:45 | 10.1.219.177    | 111.40.58.183   | IPv4/TCP        | 22    | 40164 | 2266      
2025-04-19 05:11:45 | 111.40.58.183   | 10.1.219.177    | IPv4/TCP        | 40164 | 22    | 66        
2025-04-19 05:11:45 | 111.40.58.183   | 10.1.219.177    | IPv4/TCP        | 40164 | 22    | 54        
2025-04-19 05:11:45 | 111.40.58.183   | 10.1.219.177    | IPv4/TCP        | 40164 | 22    | 54        
2025-04-19 05:11:45 | 111.40.58.183   | 10.1.219.177    | IPv6            | 0     | 0     | 110       
2025-04-19 05:11:45 | 185.180.141.60  | 10.1.219.177    | IPv4/TCP        | 35754 | 9080  | 54        
2025-04-19 05:11:45 | 10.1.219.177    | 185.180.141.60  | IPv4/TCP        | 9080  | 35754 | 54        
2025-04-19 05:11:45 | 185.180.141.60  | 10.1.219.177    | IPv4/TCP        | 35754 | 9080  | 54        
2025-04-19 05:11:46 | 10.1.219.177    | 111.40.58.183   | IPv4/TCP        | 22    | 40164 | 378       
2025-04-19 05:11:46 | 10.1.219.177    | 111.40.58.183   | IPv4/TCP        | 22    | 40164 | 378       
2025-04-19 05:11:46 | 10.1.219.177    | 111.40.58.183   | IPv4/TCP        | 22    | 40164 | 810       
2025-04-19 05:11:46 | 10.1.219.177    | 111.40.58.183   | IPv4/TCP        | 22    | 40164 | 1282      
2025-04-19 05:11:46 | 10.1.219.177    | 111.40.58.183   | IPv4/TCP        | 22    | 40164 | 1430      
2025-04-19 05:11:46 | 10.1.219.177    | 111.40.58.183   | IPv4/TCP        | 22    | 40164 | 1430      
2025-04-19 05:11:46 | 111.40.58.183   | 10.1.219.177    | IPv4/TCP        | 40164 | 22    | 54        
2025-04-19 05:11:46 | 111.40.58.183   | 10.1.219.177    | IPv4/TCP        | 40164 | 22    | 66        
2025-04-19 05:11:47 | 10.1.219.177    | 111.40.58.183   | IPv4/TCP        | 22    | 40164 | 378       
2025-04-19 05:11:47 | 10.1.219.177    | 111.40.58.183   | IPv4/TCP        | 22    | 40164 | 378       
2025-04-19 05:11:47 | 10.1.219.177    | 111.40.58.183   | IPv4/TCP        | 22    | 40164 | 990       
2025-04-19 05:11:47 | 10.1.219.177    | 111.40.58.183   | IPv4/TCP        | 22    | 40164 | 938       
2025-04-19 05:11:47 | 111.40.58.183   | 10.1.219.177    | IPv4/TCP        | 40164 | 22    | 54        
2025-04-19 05:11:47 | 111.40.58.183   | 10.1.219.177    | IPv4/TCP        | 40164 | 22    | 54        
2025-04-19 05:11:47 | 180.184.52.206  | 10.1.219.177    | IPv4/TCP        | 48264 | 22    | 66        
2025-04-19 05:11:47 | 10.1.219.177    | 180.184.52.206  | IPv4/TCP        | 22    | 48264 | 78        
2025-04-19 05:11:47 | 180.184.52.206  | 10.1.219.177    | IPv4/TCP        | 48264 | 22    | 114       
2025-04-19 05:11:47 | 10.1.219.177    | 180.184.52.206  | IPv4/TCP        | 22    | 48264 | 66        
2025-04-19 05:11:47 | 10.1.219.177    | 180.184.52.206  | IPv4/TCP        | 22    | 48264 | 566       
2025-04-19 05:11:47 | 10.1.219.177    | 180.184.52.206  | IPv4/TCP        | 22    | 48264 | 66        
2025-04-19 05:11:47 | 10.1.219.177    | 111.40.58.183   | IPv4/TCP        | 8084  | 58343 | 58        
2025-04-19 05:11:47 | 10.1.219.177    | 111.40.58.183   | IPv4/TCP        | 8084  | 58343 | 89        
2025-04-19 05:11:47 | 10.1.219.177    | 111.40.58.183   | IPv4/TCP        | 8084  | 58343 | 116       
2025-04-19 05:11:47 | 111.40.58.183   | 10.1.219.177    | IPv4/TCP        | 58343 | 8084  | 58        
2025-04-19 05:11:47 | 111.40.58.183   | 10.1.219.177    | IPv4/TCP        | 58343 | 8084  | 89        
2025-04-19 05:11:47 | 111.40.58.183   | 10.1.219.177    | IPv4/TCP        | 58343 | 8084  | 58        
2025-04-19 05:11:47 | 10.1.219.177    | 111.40.58.183   | IPv4/TCP        | 8084  | 58343 | 54        
2025-04-19 05:11:47 | 111.40.58.183   | 10.1.219.177    | IPv4/TCP        | 58343 | 8084  | 110       
2025-04-19 05:11:47 | 10.1.219.177    | 111.40.58.183   | IPv4/TCP        | 8084  | 58343 | 58        
2025-04-19 05:11:47 | 10.1.219.177    | 111.40.58.183   | IPv4/TCP        | 8084  | 58343 | 89        
2025-04-19 05:11:47 | 10.1.219.177    | 111.40.58.183   | IPv4/TCP        | 8084  | 58343 | 114       
